Win,Type,Team1,Team2,OT,Year,Month,Day,Team1_Score,Team2_Score,Avg_Win_Ratio,Similarity_Score,Avg_Score_Diff,Regular_Wins_Team1_total,Regular_Losses_Team1_total,Playoff_Wins_Team1_total,Playoff_Losses_Team1_total,GAME_DATE_TIMESTAMP,Date
0,0,1610612738,1610612764,0,2024,3,17,0.0,0.0,0.6231527093596059,0.9452054794520548,-0.2274162938399797,340,145,166,161,1710633600,2024-03-17
0,0,1610612738,1610612765,0,2024,3,18,0.0,0.0,0.6231527093596059,0.9178082191780822,4.871339972357077,340,145,166,161,1710720000,2024-03-18
0,0,1610612738,1610612749,0,2024,3,20,0.0,0.0,0.6231527093596059,0.547945205479452,-1.7276492967709487,340,145,166,161,1710892800,2024-03-20
0,0,1610612738,1610612765,0,2024,3,22,0.0,0.0,0.6231527093596059,0.9178082191780822,4.871339972357077,340,145,166,161,1711065600,2024-03-22
0,0,1610612738,1610612741,0,2024,3,23,0.0,0.0,0.6231527093596059,0.7671232876712328,3.713017188524063,340,145,166,161,1711152000,2024-03-23
0,0,1610612738,1610612737,0,2024,3,25,0.0,0.0,0.6231527093596059,0.8904109589041096,0.1392161062325954,340,145,166,161,1711324800,2024-03-25
0,0,1610612738,1610612737,0,2024,3,28,0.0,0.0,0.6231527093596059,0.8904109589041096,0.1392161062325954,340,145,166,161,1711584000,2024-03-28
0,0,1610612738,1610612740,0,2024,3,30,0.0,0.0,0.6231527093596059,0.9178082191780822,-0.6101732440360905,340,145,166,161,1711756800,2024-03-30
0,0,1610612738,1610612766,0,2024,4,1,0.0,0.0,0.6231527093596059,0.9589041095890412,2.547598965162834,340,145,166,161,1711929600,2024-04-01
0,0,1610612738,1610612760,0,2024,4,3,0.0,0.0,0.6231527093596059,0.9452054794520548,0.5182921931891116,340,145,166,161,1712102400,2024-04-03
0,0,1610612738,1610612758,0,2024,4,5,0.0,0.0,0.6231527093596059,0.6575342465753424,0.353004926108369,340,145,166,161,1712275200,2024-04-05
0,0,1610612738,1610612757,0,2024,4,7,0.0,0.0,0.6231527093596059,0.8082191780821918,0.6572000292508449,340,145,166,161,1712448000,2024-04-07
0,0,1610612738,1610612749,0,2024,4,9,0.0,0.0,0.6231527093596059,0.547945205479452,-1.7276492967709487,340,145,166,161,1712620800,2024-04-09
0,0,1610612738,1610612752,0,2024,4,11,0.0,0.0,0.6231527093596059,0.8082191780821918,4.306706224809673,340,145,166,161,1712793600,2024-04-11
0,0,1610612738,1610612766,0,2024,4,12,0.0,0.0,0.6231527093596059,0.9589041095890412,2.547598965162834,340,145,166,161,1712880000,2024-04-12
0,0,1610612738,1610612764,0,2024,4,14,0.0,0.0,0.6231527093596059,0.9452054794520548,-0.2274162938399797,340,145,166,161,1713052800,2024-04-14
0,0,1610612751,1610612753,0,2024,2,27,0.0,0.0,0.4343015214384509,0.6164383561643836,4.43911009093317,202,182,112,227,1708992000,2024-02-27
0,0,1610612751,1610612737,0,2024,2,29,0.0,0.0,0.4343015214384509,0.9863013698630136,-0.5970292861867819,202,182,112,227,1709164800,2024-02-29
0,0,1610612751,1610612737,0,2024,3,2,0.0,0.0,0.4343015214384509,0.9863013698630136,-0.5970292861867819,202,182,112,227,1709337600,2024-03-02
0,0,1610612751,1610612763,0,2024,3,4,0.0,0.0,0.4343015214384509,0.6575342465753424,2.694590293900049,202,182,112,227,1709510400,2024-03-04
0,0,1610612751,1610612755,0,2024,3,5,0.0,0.0,0.4343015214384509,0.7945205479452055,0.2662013501506806,202,182,112,227,1709596800,2024-03-05
0,0,1610612751,1610612765,0,2024,3,7,0.0,0.0,0.4343015214384509,0.9178082191780822,4.1350945799377,202,182,112,227,1709769600,2024-03-07
0,0,1610612751,1610612766,0,2024,3,9,0.0,0.0,0.4343015214384509,0.9863013698630136,1.8113535727434569,202,182,112,227,1709942400,2024-03-09
0,0,1610612751,1610612739,0,2024,3,10,0.0,0.0,0.4343015214384509,0.6849315068493151,1.953579871385827,202,182,112,227,1710028800,2024-03-10
0,0,1610612751,1610612753,0,2024,3,13,0.0,0.0,0.4343015214384509,0.6164383561643836,4.43911009093317,202,182,112,227,1710288000,2024-03-13
0,0,1610612751,1610612754,0,2024,3,16,0.0,0.0,0.4343015214384509,0.9589041095890412,0.009624569205954,202,182,112,227,1710547200,2024-03-16
0,0,1610612751,1610612759,0,2024,3,17,0.0,0.0,0.4343015214384509,0.726027397260274,0.8426765089374868,202,182,112,227,1710633600,2024-03-17
0,0,1610612751,1610612740,0,2024,3,19,0.0,0.0,0.4343015214384509,0.6301369863013699,-1.3464186364554678,202,182,112,227,1710806400,2024-03-19
0,0,1610612751,1610612749,0,2024,3,21,0.0,0.0,0.4343015214384509,0.6986301369863014,-2.463894689190326,202,182,112,227,1710979200,2024-03-21
0,0,1610612751,1610612752,0,2024,3,23,0.0,0.0,0.4343015214384509,0.9315068493150684,3.570460832390296,202,182,112,227,1711152000,2024-03-23
0,0,1610612751,1610612761,0,2024,3,25,0.0,0.0,0.4343015214384509,0.6164383561643836,0.2942190329526113,202,182,112,227,1711324800,2024-03-25
0,0,1610612751,1610612764,0,2024,3,27,0.0,0.0,0.4343015214384509,0.9178082191780822,-0.963661686259357,202,182,112,227,1711497600,2024-03-27
0,0,1610612751,1610612741,0,2024,3,29,0.0,0.0,0.4343015214384509,0.8767123287671232,2.9767717961046856,202,182,112,227,1711670400,2024-03-29
0,0,1610612751,1610612747,0,2024,3,31,0.0,0.0,0.4343015214384509,0.7534246575342466,0.1102720022758774,202,182,112,227,1711843200,2024-03-31
0,0,1610612751,1610612754,0,2024,4,1,0.0,0.0,0.4343015214384509,0.9589041095890412,0.009624569205954,202,182,112,227,1711929600,2024-04-01
0,0,1610612751,1610612754,0,2024,4,3,0.0,0.0,0.4343015214384509,0.9589041095890412,0.009624569205954,202,182,112,227,1712102400,2024-04-03
0,0,1610612751,1610612765,0,2024,4,6,0.0,0.0,0.4343015214384509,0.9178082191780822,4.1350945799377,202,182,112,227,1712361600,2024-04-06
0,0,1610612751,1610612758,0,2024,4,7,0.0,0.0,0.4343015214384509,0.821917808219178,-0.3832404663110083,202,182,112,227,1712448000,2024-04-07
0,0,1610612751,1610612761,0,2024,4,10,0.0,0.0,0.4343015214384509,0.6164383561643836,0.2942190329526113,202,182,112,227,1712707200,2024-04-10
0,0,1610612751,1610612752,0,2024,4,12,0.0,0.0,0.4343015214384509,0.9315068493150684,3.570460832390296,202,182,112,227,1712880000,2024-04-12
0,0,1610612751,1610612755,0,2024,4,14,0.0,0.0,0.4343015214384509,0.7945205479452055,0.2662013501506806,202,182,112,227,1713052800,2024-04-14
0,0,1610612766,1610612749,0,2024,2,27,0.0,0.0,0.4359712230215827,0.5068493150684932,-4.275248261933783,191,161,112,231,1708992000,2024-02-27
0,0,1610612766,1610612749,0,2024,2,29,0.0,0.0,0.4359712230215827,0.5068493150684932,-4.275248261933783,191,161,112,231,1709164800,2024-02-29
0,0,1610612766,1610612755,0,2024,3,1,0.0,0.0,0.4359712230215827,0.8904109589041096,-1.545152222592776,191,161,112,231,1709251200,2024-03-01
0,0,1610612766,1610612761,0,2024,3,3,0.0,0.0,0.4359712230215827,0.9178082191780822,-1.5171345397908451,191,161,112,231,1709424000,2024-03-03
0,0,1610612766,1610612753,0,2024,3,5,0.0,0.0,0.4359712230215827,0.821917808219178,2.627756518189713,191,161,112,231,1709596800,2024-03-05
0,0,1610612766,1610612764,0,2024,3,8,0.0,0.0,0.4359712230215827,0.9589041095890412,-2.7750152590028137,191,161,112,231,1709856000,2024-03-08
0,0,1610612766,1610612751,0,2024,3,9,0.0,0.0,0.4359712230215827,0.9863013698630136,-1.8113535727434569,191,161,112,231,1709942400,2024-03-09
0,0,1610612766,1610612765,0,2024,3,11,0.0,0.0,0.4359712230215827,0.904109589041096,2.3237410071942435,191,161,112,231,1710115200,2024-03-11
0,0,1610612766,1610612763,0,2024,3,13,0.0,0.0,0.4359712230215827,0.8767123287671232,0.8832367211565924,191,161,112,231,1710288000,2024-03-13
0,0,1610612766,1610612756,0,2024,3,15,0.0,0.0,0.4359712230215827,0.8082191780821918,-2.0118564257905405,191,161,112,231,1710460800,2024-03-15
0,0,1610612766,1610612755,0,2024,3,16,0.0,0.0,0.4359712230215827,0.8904109589041096,-1.545152222592776,191,161,112,231,1710547200,2024-03-16
0,0,1610612766,1610612753,0,2024,3,19,0.0,0.0,0.4359712230215827,0.821917808219178,2.627756518189713,191,161,112,231,1710806400,2024-03-19
0,0,1610612766,1610612737,0,2024,3,23,0.0,0.0,0.4359712230215827,0.6849315068493151,-2.4083828589302385,191,161,112,231,1711152000,2024-03-23
0,0,1610612766,1610612739,0,2024,3,25,0.0,0.0,0.4359712230215827,0.8493150684931507,0.1422262986423703,191,161,112,231,1711324800,2024-03-25
0,0,1610612766,1610612739,0,2024,3,27,0.0,0.0,0.4359712230215827,0.8493150684931507,0.1422262986423703,191,161,112,231,1711497600,2024-03-27
0,0,1610612766,1610612744,0,2024,3,29,0.0,0.0,0.4359712230215827,0.821917808219178,-6.1012299837549335,191,161,112,231,1711670400,2024-03-29
0,0,1610612766,1610612746,0,2024,3,31,0.0,0.0,0.4359712230215827,0.8767123287671232,-3.281832134292557,191,161,112,231,1711843200,2024-03-31
0,0,1610612766,1610612738,0,2024,4,1,0.0,0.0,0.4359712230215827,0.9589041095890412,-2.547598965162834,191,161,112,231,1711929600,2024-04-01
0,0,1610612766,1610612757,0,2024,4,3,0.0,0.0,0.4359712230215827,0.821917808219178,-1.890398935911989,191,161,112,231,1712102400,2024-04-03
0,0,1610612766,1610612753,0,2024,4,5,0.0,0.0,0.4359712230215827,0.821917808219178,2.627756518189713,191,161,112,231,1712275200,2024-04-05
