Win,Type,Team1,Team2,OT,Year,Month,Day,Team1_Score,Team2_Score,Avg_Win_Ratio,Similarity_Score,Avg_Score_Diff,Regular_Wins_Team1_total,Regular_Losses_Team1_total,Playoff_Wins_Team1_total,Playoff_Losses_Team1_total,GAME_DATE_TIMESTAMP
1,0,1610612737,1610612741,0,2016,1,9,120.0,105.0,0.45652173913043476,0.7945205479452055,3.5738010822914674,211,188,125,212,1452297600
0,1,1610612737,1610612766,0,2016,1,13,84.0,107.0,0.45652173913043476,0.6849315068493151,2.4083828589302385,211,188,125,212,1452643200
0,0,1610612737,1610612749,1,2016,1,15,101.0,108.0,0.45652173913043476,0.904109589041096,-1.866865403003544,211,188,125,212,1452816000
1,0,1610612737,1610612751,0,2016,1,16,114.0,86.0,0.45652173913043476,0.6164383561643836,0.5970292861867819,211,188,125,212,1452902400
1,0,1610612737,1610612753,0,2016,1,18,98.0,81.0,0.45652173913043476,0.7671232876712328,5.036139377119952,211,188,125,212,1453075200
1,1,1610612737,1610612757,0,2016,1,20,104.0,98.0,0.45652173913043476,0.9178082191780822,0.5179839230182495,211,188,125,212,1453248000
0,0,1610612737,1610612758,0,2016,1,21,88.0,91.0,0.45652173913043476,0.9589041095890412,0.21378881987577358,211,188,125,212,1453334400
0,0,1610612737,1610612756,0,2016,1,23,95.0,98.0,0.45652173913043476,0.9589041095890412,0.39652643313969804,211,188,125,212,1453507200
1,0,1610612737,1610612743,0,2016,1,25,119.0,105.0,0.45652173913043476,0.8082191780821918,-0.7532622941478166,211,188,125,212,1453680000
0,1,1610612737,1610612746,0,2016,1,27,83.0,85.0,0.45652173913043476,0.9726027397260274,-0.8734492753623186,211,188,125,212,1453852800
0,1,1610612737,1610612754,0,2016,1,28,92.0,111.0,0.45652173913043476,0.7397260273972603,0.6066538553927359,211,188,125,212,1453939200
0,1,1610612737,1610612748,0,2016,1,31,87.0,105.0,0.45652173913043476,0.7534246575342466,3.9967154706897503,211,188,125,212,1454198400
1,1,1610612737,1610612742,0,2016,2,1,112.0,97.0,0.45652173913043476,0.7945205479452055,2.072047992397245,211,188,125,212,1454284800
1,0,1610612737,1610612755,0,2016,2,3,124.0,86.0,0.45652173913043476,0.4794520547945206,0.8632306363374624,211,188,125,212,1454457600
1,1,1610612737,1610612754,0,2016,2,5,102.0,96.0,0.45652173913043476,0.9178082191780822,0.6066538553927359,211,188,125,212,1454630400
0,0,1610612737,1610612753,0,2016,2,7,94.0,96.0,0.45652173913043476,0.9726027397260274,5.036139377119952,211,188,125,212,1454803200
0,0,1610612737,1610612753,1,2016,2,8,110.0,117.0,0.45652173913043476,0.904109589041096,5.036139377119952,211,188,125,212,1454889600
1,0,1610612737,1610612741,0,2016,2,10,113.0,90.0,0.45652173913043476,0.6849315068493151,3.5738010822914674,211,188,125,212,1455062400
0,1,1610612737,1610612748,0,2016,2,19,111.0,115.0,0.45652173913043476,0.9452054794520548,3.9967154706897503,211,188,125,212,1455840000
0,0,1610612737,1610612749,1,2016,2,20,109.0,117.0,0.45652173913043476,0.8904109589041096,-1.866865403003544,211,188,125,212,1455926400
0,1,1610612737,1610612744,0,2016,2,22,92.0,102.0,0.45652173913043476,0.863013698630137,-3.692847124824695,211,188,125,212,1456099200
1,0,1610612737,1610612741,0,2016,2,26,103.0,88.0,0.45652173913043476,0.7945205479452055,3.5738010822914674,211,188,125,212,1456444800
1,1,1610612737,1610612766,0,2016,2,28,87.0,76.0,0.45652173913043476,0.8493150684931507,2.4083828589302385,211,188,125,212,1456617600
0,1,1610612737,1610612744,1,2016,3,1,105.0,109.0,0.45652173913043476,0.9452054794520548,-3.692847124824695,211,188,125,212,1456790400
1,0,1610612737,1610612747,0,2016,3,4,106.0,77.0,0.45652173913043476,0.6027397260273972,0.7073012884626593,211,188,125,212,1457049600
1,1,1610612737,1610612746,0,2016,3,5,107.0,97.0,0.45652173913043476,0.863013698630137,-0.8734492753623186,211,188,125,212,1457136000
1,0,1610612737,1610612762,0,2016,3,8,91.0,84.0,0.45652173913043476,0.904109589041096,1.182667055733873,211,188,125,212,1457395200
0,1,1610612737,1610612761,0,2016,3,10,96.0,104.0,0.45652173913043476,0.8904109589041096,0.8912483191393932,211,188,125,212,1457568000
1,1,1610612737,1610612763,0,2016,3,12,95.0,83.0,0.45652173913043476,0.8356164383561644,3.291619580086831,211,188,125,212,1457740800
1,1,1610612737,1610612754,0,2016,3,13,104.0,75.0,0.45652173913043476,0.6027397260273972,0.6066538553927359,211,188,125,212,1457827200
1,1,1610612737,1610612765,0,2016,3,16,118.0,114.0,0.45652173913043476,0.9452054794520548,4.732123866124482,211,188,125,212,1458086400
1,0,1610612737,1610612743,0,2016,3,17,116.0,98.0,0.45652173913043476,0.7534246575342466,-0.7532622941478166,211,188,125,212,1458172800
1,1,1610612737,1610612745,0,2016,3,19,109.0,97.0,0.45652173913043476,0.8356164383561644,-0.9194288036222247,211,188,125,212,1458345600
0,0,1610612737,1610612764,0,2016,3,21,102.0,117.0,0.45652173913043476,0.7945205479452055,-0.36663240007257514,211,188,125,212,1458518400
1,0,1610612737,1610612764,0,2016,3,23,122.0,101.0,0.45652173913043476,0.7123287671232876,-0.36663240007257514,211,188,125,212,1458691200
1,0,1610612737,1610612749,0,2016,3,25,101.0,90.0,0.45652173913043476,0.8493150684931507,-1.866865403003544,211,188,125,212,1458864000
1,1,1610612737,1610612765,0,2016,3,26,112.0,95.0,0.45652173913043476,0.7671232876712328,4.732123866124482,211,188,125,212,1458950400
1,0,1610612737,1610612741,0,2016,3,28,102.0,100.0,0.45652173913043476,0.9726027397260274,3.5738010822914674,211,188,125,212,1459123200
0,1,1610612737,1610612761,0,2016,3,30,97.0,105.0,0.45652173913043476,0.8904109589041096,0.8912483191393932,211,188,125,212,1459296000
