TEAM_ID,SEASON,TYPE,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,Shooting_Efficiency,True_Shooting_Percentage,Assist_Turnover_Ratio,Defensive_Rebounds_Percentage,Offensive_Rebounds_Percentage,Avg_Scoring,Defensive_Score,Total_Efficiency
1610612737,2016-2017,0,252.6,41.4,91.4,9.7,27.7,20.0,27.3,11.0,36.3,47.6,24.4,8.8,5.1,16.3,112.6,0.45210687379126957,0.541419731520991,1.5060652291726462,0.7997842154002435,0.20021578459975645,0.1540602117419193,13.9,124.8
1610612737,2016-2017,1,237.2,36.800000000000004,83.8,8.2,27.1,22.0,28.0,11.399999999999999,33.0,44.1,22.2,6.1,3.2,15.6,103.9,0.42336235865591315,0.5334615965514902,1.47125079856504,0.7405432376563714,0.2594567623436286,1.7316666666666667,9.3,111.2
1610612737,2017-2018,0,154.9,27.6,60.300000000000004,6.2,17.8,12.2,15.3,6.0,22.2,28.2,18.2,5.3,3.3,11.5,73.5,0.46518100556213077,0.5533577591309365,1.5449466328089516,0.7992810554802116,0.20071894451978847,0.176942445656468,8.6,81.2
1610612737,2018-2019,0,198.9,36.1,78.5,10.5,30.1,14.8,20.0,10.6,30.1,40.7,21.4,6.9,4.6,14.0,97.6,0.4571480270118704,0.5564997468593482,1.4462110687729883,0.7640927757892043,0.23590722421079566,0.17133194394670068,11.5,109.60000000000001
1610612737,2019-2020,0,210.5,32.7,76.7,11.2,33.1,17.9,22.1,6.6,24.2,31.0,24.7,6.1,3.2,14.1,94.8,0.4423311767374789,0.5438449597004956,1.5753540305010894,0.7816113732780399,0.21838862672196005,0.17934956070403177,9.3,98.0
1610612737,2020-2021,0,190.8,35.2,74.8,9.5,25.8,19.2,23.0,9.0,29.2,38.1,20.9,5.199999999999999,4.0,10.7,99.10000000000001,0.46025445874993454,0.5736569124400228,1.8425111473891962,0.8097467568465724,0.19025324315342762,0.22715181528084522,9.2,113.0
1610612737,2020-2021,1,225.10000000000002,37.5,83.1,11.1,33.1,16.3,20.3,8.9,31.0,40.099999999999994,20.3,6.2,4.0,11.2,102.4,0.4496742773972148,0.5434122922584095,1.531047656047656,0.8053280181985566,0.1946719818014434,0.6564373897707232,10.200000000000001,111.8
1610612737,2021-2022,0,165.6,30.0,63.9,10.3,26.9,12.6,15.299999999999999,6.5,24.0,30.6,20.6,5.0,2.4000000000000004,8.1,82.8,0.4746947639020606,0.5822316290671407,2.665530303030303,0.8218055528847694,0.17819444711523055,0.19354930802299222,7.4,96.89999999999999
1610612737,2021-2022,1,231.3,33.3,76.3,10.799999999999999,34.1,17.0,21.9,7.800000000000001,28.6,36.4,19.099999999999998,5.1,2.3,15.700000000000001,94.4,0.45679005511589543,0.5667965870131951,1.4371565113500597,0.8190890538208107,0.18091094617918924,2.1844444444444444,7.4,93.6
1610612737,2022-2023,0,258.0,48.5,99.9,10.9,31.3,22.0,26.900000000000002,12.9,36.4,49.2,25.9,7.7,5.3,13.1,129.3,0.49850328286893986,0.5821196509604256,1.7309774575018477,0.7508311805342978,0.24916881946570218,0.18033909619902827,13.0,147.7
1610612737,2022-2023,1,245.6,45.5,99.8,14.5,38.5,14.0,17.4,12.5,32.6,45.0,25.5,8.0,4.8,12.5,119.6,0.47663075659987647,0.5676906340448725,2.1062169312169314,0.7470354855537692,0.25296451444623075,2.3,12.8,133.1
1610612737,2023-2024,0,231.4,43.2,91.5,13.0,36.0,19.3,24.2,13.3,31.7,45.1,26.6,7.3,4.5,12.4,119.2,0.482556317949016,0.5962307946945603,1.8402970874059095,0.7462743394855463,0.2537256605144536,0.2927152931040069,11.8,137.5
1610612738,2016-2017,0,219.6,34.8,76.5,11.1,31.0,18.5,22.6,8.1,29.8,38.0,25.0,6.8,3.9,11.9,98.8,0.45770369206531875,0.5587270714657397,2.041741083897947,0.7834279348750055,0.21657206512499455,0.14692065991544442,10.7,115.0
1610612738,2016-2017,1,240.4,38.9,85.1,13.0,35.3,16.3,21.3,9.0,27.2,36.2,27.3,7.8,3.9000000000000004,13.1,107.2,0.4627985146249893,0.5669558492924457,2.012848230201171,0.7387813669829371,0.26121863301706305,0.6450611218846513,11.700000000000001,118.0
1610612738,2017-2018,0,199.9,33.8,72.3,9.8,25.2,13.4,17.4,7.8,29.8,37.7,18.2,5.8,4.2,10.5,91.0,0.45981093103811094,0.5561037572826626,1.6075310559006213,0.7909109733721279,0.20908902662787202,0.16289544375588896,10.0,103.8
1610612738,2018-2019,0,236.8,43.2,92.5,13.0,35.1,15.700000000000001,19.6,8.8,34.2,42.7,27.400000000000002,8.9,4.8,12.5,115.1,0.46840811729984505,0.5707454963600944,2.148480531813865,0.790296052509849,0.20970394749015092,0.17624744178222043,13.700000000000001,133.2
1610612738,2018-2019,1,229.0,34.6,81.0,10.8,31.0,17.9,21.8,6.8,39.8,46.4,20.2,5.2,3.6,13.200000000000001,97.8,0.4343634968400646,0.5381314608587415,1.2379651610834406,0.8321634538732579,0.16783654612674223,1.2134038800705467,8.8,110.1
1610612738,2019-2020,0,254.9,45.6,98.6,14.3,38.5,20.4,25.3,11.1,37.3,48.5,25.6,8.4,5.5,14.0,125.5,0.4659723755433013,0.5688647999974099,1.8197703653266313,0.7780641741165601,0.2219358258834398,0.21034374384283083,13.9,141.5
